"country","yearAC","totalAC"
"Afghanistan","2016",0.3
"Albania","2016",37.7
"Algeria","2016",1.5
"Andorra","2016",64.2
"Angola","2016",33.5
"Antigua and Barbuda","2016",35.3
"Argentina","2016",54.5
"Armenia","2016",16.3
"Australia","2016",69.3
"Austria","2016",68.1
"Azerbaijan","2016",12.8
"Bahamas","2016",29.8
"Bahrain","2016",3.8
"Bangladesh","2016",1.3
"Barbados","2016",37.5
"Belarus","2016",58
"Belgium","2016",66.2
"Belize","2016",27.3
"Benin","2016",15.3
"Bhutan","2016",16.8
"Bolivia (Plurinational State of)","2016",31.3
"Bosnia and Herzegovina","2016",34.4
"Botswana","2016",19.3
"Brazil","2016",26.8
"Brunei Darussalam","2016",24.5
"Bulgaria","2016",54.1
"Burkina Faso","2016",24.4
"Burundi","2016",19.4
"Cabo Verde","2016",20.8
"Cambodia","2016",19.2
"Cameroon","2016",26.1
"Canada","2016",51.7
"Central African Republic","2016",24.4
"Chad","2016",13.3
"Chile","2016",54.4
"China","2016",41.2
"Colombia","2016",25
"Comoros","2016",2
"Congo","2016",36.9
"Cook Islands","2016",36
"Costa Rica","2016",23.7
"C̫te d'Ivoire","2016",25.2
"Croatia","2016",47.4
"Cuba","2016",32.5
"Cyprus","2016",55.3
"Czechia","2016",64.6
"Democratic People's Republic of Korea","2016",27.4
"Democratic Republic of the Congo","2016",23.6
"Denmark","2016",63.9
"Djibouti","2016",11
"Dominica","2016",31.3
"Dominican Republic","2016",29.1
"Ecuador","2016",32.2
"Egypt","2016",1.4
"El Salvador","2016",19
"Equatorial Guinea","2016",59.3
"Eritrea","2016",11.5
"Estonia","2016",62.3
"Eswatini","2016",17.6
"Ethiopia","2016",13.3
"Fiji","2016",9.9
"Finland","2016",61.9
"France","2016",65.4
"Gabon","2016",52.3
"Gambia","2016",15.9
"Georgia","2016",23.6
"Germany","2016",70.2
"Ghana","2016",15.4
"Greece","2016",53.4
"Grenada","2016",34.9
"Guatemala","2016",16.9
"Guinea","2016",12.6
"Guinea-Bissau","2016",17.2
"Guyana","2016",26.1
"Haiti","2016",22.4
"Honduras","2016",18.3
"Hungary","2016",54.6
"Iceland","2016",59.2
"India","2016",25.2
"Indonesia","2016",13.1
"Iran (Islamic Republic of)","2016",1.7
"Iraq","2016",1.5
"Ireland","2016",71.4
"Israel","2016",41.4
"Italy","2016",50.8
"Jamaica","2016",22.7
"Japan","2016",45.5
"Jordan","2016",1.5
"Kazakhstan","2016",26.4
"Kenya","2016",13.8
"Kiribati","2016",6.6
"Kuwait","2016",0.2
"Kyrgyzstan","2016",15.3
"Lao People's Democratic Republic","2016",26.4
"Latvia","2016",65.3
"Lebanon","2016",3
"Lesotho","2016",10
"Liberia","2016",18.7
"Libya","2016",0.1
"Lithuania","2016",70.6
"Luxembourg","2016",86.4
"Madagascar","2016",12
"Malawi","2016",14
"Malaysia","2016",17.5
"Maldives","2016",3.8
"Mali","2016",12.9
"Malta","2016",49.4
"Mauritania","2016",0.5
"Mauritius","2016",19.6
"Mexico","2016",28.7
"Micronesia (Federated States of)","2016",8.5
"Mongolia","2016",20.4
"Montenegro","2016",40.6
"Morocco","2016",1.3
"Mozambique","2016",12.5
"Myanmar","2016",16.2
"Namibia","2016",18.7
"Nauru","2016",12.8
"Nepal","2016",17.1
"Netherlands","2016",60.9
"New Zealand","2016",63.8
"Nicaragua","2016",20.5
"Niger","2016",11.8
"Nigeria","2016",37.3
"Niue","2016",20.9
"Norway","2016",68.8
"Oman","2016",3.3
"Pakistan","2016",0.6
"Panama","2016",33.2
"Papua New Guinea","2016",7.4
"Paraguay","2016",23
"Peru","2016",38.5
"Philippines","2016",20.8
"Poland","2016",55.6
"Portugal","2016",58
"Qatar","2016",25.5
"Republic of Korea","2016",50.5
"Republic of Moldova","2016",52.9
"Republic of North Macedonia","2016",39.4
"Romania","2016",55.2
"Russian Federation","2016",39.5
"Rwanda","2016",22.6
"Saint Kitts and Nevis","2016",40.4
"Saint Lucia","2016",35.3
"Saint Vincent and the Grenadines","2016",32
"Samoa","2016",9.1
"Sao Tome and Principe","2016",21.1
"Saudi Arabia","2016",2.5
"Senegal","2016",12.4
"Serbia","2016",47.3
"Seychelles","2016",39.4
"Sierra Leone","2016",18.7
"Singapore","2016",57.2
"Slovakia","2016",56.5
"Slovenia","2016",59.6
"Solomon Islands","2016",7.4
"Somalia","2016",0.3
"South Africa","2016",19.5
"Spain","2016",56.6
"Sri Lanka","2016",18
"Sudan","2016",1.1
"Suriname","2016",28.2
"Sweden","2016",62
"Switzerland","2016",72
"Syrian Arab Republic","2016",1
"Tajikistan","2016",11.7
"Thailand","2016",27.3
"Timor-Leste","2016",12.9
"Togo","2016",15
"Tonga","2016",8.2
"Trinidad and Tobago","2016",43.9
"Tunisia","2016",2.6
"Turkey","2016",3.5
"Turkmenistan","2016",18.4
"Tuvalu","2016",7.9
"Uganda","2016",23.6
"Ukraine","2016",45.2
"United Arab Emirates","2016",7.9
"United Kingdom of Great Britain and Northern Ireland","2016",62.3
"United Republic of Tanzania","2016",23.6
"United States of America","2016",59.9
"Uruguay","2016",57.1
"Uzbekistan","2016",11.8
"Vanuatu","2016",7.4
"Venezuela (Bolivarian Republic of)","2016",24.7
"Viet Nam","2016",23.4
"Yemen","2016",0.3
"Zambia","2016",16.5
"Zimbabwe","2016",9.8
